Description,Manufacturer,Brand Name,Strength,Label Size,Pack Quantity,Min Price
HC/PRAMOX CR 1-2.5% 28.4GM,PADAGIS US LLC RX CS,PRAMOSONE,1-2.5%,28.4 GM,1,60.27
HC/PRAMOX CR 1-2.5% 57GM,PADAGIS US LLC RX CS,PRAMOSONE,1-2.5%,57 GM,1,103.67
HC/PRAMOX CR 2.5-1% 30GM,PADAGIS US LLC RX CS,ANALPRAM-HC,2.5-1%,30 GM,1,47.87
HEARTBURN RELIEF TB 10MG 30,MAJOR PHARMACEUTICALS CS CHLC,,10MG,30 EA,1,2.18
HEARTBURN RELIEF TB 10MG 30,MAJOR PHARMACEUTICALS CS NLC,,10MG,30 EA,1,2.18
HEARTBURN RELIEF TB 10MG 60,MAJOR PHARMACEUTICALS CS CHLC,PEPCID AC,10MG,60 EA,1,3.68
HEARTBURN RELIEF TB 10MG 60,MAJOR PHARMACEUTICALS CS NLC,PEPCID AC,10MG,60 EA,1,3.68
HEARTBURN RELIEF TB 20MG 25 MS,MAJOR PHARMACEUTICALS CS CHLC,,20MG,25 EA,1,3.79
HEARTBURN RELIEF TB 20MG 50 MS,MAJOR PHARMACEUTICALS CS CHLC,,20MG,50 EA,1,4.57
HEARTBURN RELIEF TB 20MG 50 MS,MAJOR PHARMACEUTICALS CS NLC,,20MG,50 EA,1,4.57
HEMMOREX-HC SU 25MG 12,LASER PHARMACEUTICALS LLC CS,ANUSOL,25MG,12 EA,1,25.07
HEMMOREX-HC SU 25MG 24,LASER PHARMACEUTICALS LLC CS,ANUSOL,25MG,24 EA,1,34.47
HEMMOREX-HC SU 30MG 12,LASER PHARMACEUTICALS LLC CS,PROCTOCORT,30MG,12 EA,1,60.57
HEMORRHOIDAL OI 0.25% 57GM APL,MAJOR RUGBY LABS CHLC,,0.25-14-74.9%,57 GM,1,1.95
HEMORRHOIDAL OI 0.25% 57GM APL,MAJOR RUGBY LABS NLC,,0.25-14-74.9%,57 GM,1,1.95
HEMORRHOIDAL SU 12 RECT,MAJOR RUGBY LABS CHLC,PREPARATION H,0.25-88.44%,12 EA,1,2.29
HEMORRHOIDAL SU 12 RECT,MAJOR RUGBY LABS NLC,PREPARATION H,0.25-88.44%,12 EA,1,2.29
HEPARIN SOD MD 5000U/ML 25X1ML,PFIZER INJECTABLE,HEPARIN SODIUM,5000U/ML,25X1ML,25,35.57
HIGH POTENCY FSHOL GC 1000MG 100,MAJOR RUGBY LABS,,1000MG,100 EA,1,2.5
HYDRALAZINE HCL SD 20MG/ML 25X1ML,AMERICAN REGENT INC,HYDRALAZINE HCL,20MG/ML,25X1ML,25,431.38
HYDRALAZINE HCL TB 100MG 100,AVET PHARMA INC CS,APRESOLINE,100MG,100 EA,1,4.37
HYDRALAZINE HCL TB 100MG 100,CAMBER PHARMA CS,APRESOLINE,100MG,100 EA,1,8.27
HYDRALAZINE HCL TB 10MG 100,AVET PHARMA INC CS,APRESOLINE,10MG,100 EA,1,2.37
HYDRALAZINE HCL TB 25MG 100,AVET PHARMA INC CS,APRESOLINE,25MG,100 EA,1,3.17
HYDRALAZINE HCL TB 25MG 1000,AVET PHARMA INC CS,APRESOLINE,25MG,1000 EA,1,26.97
HYDRALAZINE HCL TB 25MG 1000,CAMBER PHARMA CS,HYDRALAZINE HCL,25MG,1000 EA,1,36.87
HYDRALAZINE HCL TB 50MG 100,AVET PHARMA INC CS,APRESOLINE,50MG,100 EA,1,3.17
HYDRALAZINE HCL TB 50MG 1000,AVET PHARMA INC CS,APRESOLINE,50MG,1000 EA,1,29.57
HYDROCHLOROTHIAZIDE CP 12.5MG 100,SCIEGEN PHARMACEUTICALS INC CS,MICROZIDE,12.5MG,100 EA,1,2.57
HYDROCHLOROTHIAZIDE CP12.5MG 1000,SCIEGEN PHARMACEUTICALS INC CS,MICROZIDE,12.5MG,1000 EA,1,17.87
HYDROCHLOROTHIAZIDE CP 12.5MG 500,SCIEGEN PHARMACEUTICALS INC CS,MICROZIDE,12.5MG,500 EA,1,9.87
HYDROCHLOROTHIAZIDE TB 12.5MG 100,AVET PHARMA INC CS,ESIDRIX,12.5MG,100 EA,1,3.97
HYDROCHLOROTHIAZIDE TB12.5MG1000,AVET PHARMA INC CS,ESIDRIX,12.5MG,1000 EA,1,32.47
HYDROCHLOROTHIAZIDE TB 25MG 100,AVET PHARMA INC CS,HYDRODIURIL,25MG,100 EA,1,1.67
HYDROCHLOROTHIAZIDE TB 25MG 1000,AVET PHARMA INC CS,HYDRODIURIL,25MG,1000 EA,1,9.37
HYDROCHLOROTHIAZIDE TB 50MG 100,AVET PHARMA INC CS,HYDRODIURIL,50MG,100 EA,1,2.37
HYDROCHLOROTHIAZIDE TB 50MG 1000,AVET PHARMA INC CS,HYDRODIURIL,50MG,1000 EA,1,18.67
HYDROCOR/IODQ/ALO GL 2-1-1% 48GM,CINTEX SERVICES LLC CS,ALCORTIN A,2-1-1%,48 GM,1,1800.07
HYDROCORT EN 100MG/60ML 7X60ML,ANI PHARMACEUTICALS INC CS,CORTENEMA,100MG/60ML,7X60ML,7,34.07
HYDROCORT/IODOQL CR 1-1% 28.4GM,CINTEX SERVICES LLC CS,VYTONE,1-1%,28.4 GM,1,56.07
HYDROCORTISONE ACET SU 25MG 12,RISING PHARMA HOLDINGS INC CS,ANUSOL-HC,25MG,12 EA,1,9.27
HYDROCORTISONE ACET SU 25MG 24,RISING PHARMA HOLDINGS INC CS,ANUSOL-HC,25MG,24 EA,1,15.17
HYDROCORTISONE BUTYR CR 0.1% 15GM,TARO PHARMACEUTICALS USA CS,LOCOID,0.1%,15 GM,1,33.47
HYDROCORTISONE BUTYR CR 0.1% 45GM,TARO PHARMACEUTICALS USA CS,LOCOID,0.1%,45 GM,1,76.67
HYDROCORTISONE CR 1% 28.4GM,ANI PHARMACEUTICALS INC CS,PROCTOCORT,1%,28.4 GM,1,14.97
HYDROCORTISONE CR 1% 28.4GM ALOE,OHM LABORATORIES INC GWSA,,1%,28.4 GM,1,2.47
HYDROCORTISONE CR 1% 28.4GM ALOE,OHM LABORATORIES INC GWSA,CORTIZONE,1%,28.4 GM,1,2.47
HYDROCORTISONE CR 1% 28GM W/ALOE,MAJOR RUGBY LABS,,1%,28 GM,1,1.24
HYDROCORTISONE CR 1% 28GM W/ALOE,MAJOR RUGBY LABS CHLC,,1%,28 GM,1,1.24
HYDROCORTISONE CR 1% 28GM W/ALOE,MAJOR RUGBY LABS NLC,,1%,28 GM,1,1.24
HYDROCORTISONE CR 2.5% 20GM,PADAGIS US LLC RX CS,HYTONE,2.5%,20 GM,1,2.27
HYDROCORTISONE CR 2.5% 28.35GM,TARO PHARMACEUTICALS USA CS,SYNACORT / PENECORT,2.5%,28.35 GM,1,2.37
HYDROCORTISONE CR 2.5% 30GM,SANDOZ CS,HYTONE,2.5%,30 GM,1,2.07
HYDROCORTISONE LT 2.5% 59ML,PADAGIS US LLC RX CS,HYTONE,2.5%,59 ML,1,8.17
HYDROCORTISONE OI 1% 28GM,PADAGIS US LLC OTC,HYTONE,1%,28 GM,1,1.87
HYDROCORTISONE OI 2.5% 20GM,PADAGIS US LLC RX CS,HYTONE,2.5%,20 GM,1,1.97
HYDROCORTISONE OI 2.5% 28.35GM,SANDOZ CS,HYTONE,2.5%,28.35 GM,1,2.87
HYDROCORTISONE OI 2.5% 454GM,PADAGIS US LLC RX CS,HYTONE,2.5%,454 GM,1,37.37
HYDROCORTISONE TB 10MG 100,AMNEAL PHARMACEUTICALS LLC CS,CORTEF,10MG,100 EA,1,21.57
HYDROCORTISONE TB 10MG 100,STRIDES PHARMA INC CS NCBNET,CORTEF,10MG,100 EA,1,23.67
HYDROCORTISONE TB 20MG 100,AMNEAL PHARMACEUTICALS LLC CS,CORTEF,20MG,100 EA,1,36.87
HYDROCORTISONE TB 20MG 100,STRIDES PHARMA INC CS NCBNET,CORTEF,20MG,100 EA,1,40.57
HYDROCORTISONE TB 5MG 50,AMNEAL PHARMACEUTICALS LLC CS,CORTEF,5MG,50 EA,1,6.97
HYDROCORTISONE TB 5MG 50,STRIDES PHARMA INC CS NCBNET,CORTEF,5MG,50 EA,1,10.97
HYDROCORTISONE VAL CR 0.2%  15GM,TARO PHARMACEUTICALS USA CS,WESTCORT,0.2%,15 GM,1,5.07
HYDROCORTISONE VAL CR 0.2%  45GM,TARO PHARMACEUTICALS USA CS,WESTCORT,0.2%,45 GM,1,14.87
HYDROCORTISONE VAL CR 0.2%  60GM,TARO PHARMACEUTICALS USA CS,WESTCORT,0.2%,60 GM,1,16.47
HYDROCORTISONE VAL OI 0.2% 15GM,TARO PHARMACEUTICALS USA CS,WESTCORT,0.2%,15 GM,1,24.37
HYDROCORTISONE VAL OI 0.2%  45GM,TARO PHARMACEUTICALS USA CS,WESTCORT,0.2%,45 GM,1,63.17
HYDROCORTISONE VAL OI 0.2%  60GM,TARO PHARMACEUTICALS USA CS,WESTCORT,0.2%,60 GM,1,72.97
HYDROQUINONE CR 4% 28.35GM,ACELLA PHARMACEUTICALS CS,ALPHAQUIN,4%,28.35 GM,1,36.27
HYDROQUINONE CR 4% 28.35GM,WESTMINSTER PHARMACEUTICALS CS,ELDOQUIN FORTE,4%,28.35 GM,1,12.77
HYDROXYCHLOROQ TB 200MG 100 CPLT,DR REDDYS LABS INC CS,PLAQUENIL,200MG,100 EA,1,12.27
HYDROXYCHLOROQ TB 200MG 100 CPLT,RISING PHARMA HOLDINGS INC CS,PLAQUENIL,200MG,100 EA,1,28.17
HYDROXYCHLOROQ TB 200MG 500 CPLT,DR REDDYS LABS INC CS,PLAQUENIL,200MG,500 EA,1,60.47
HYDROXYCHLOROQ TB 400MG 100 CPLT,DR REDDYS LABS INC CS,PLAQUENIL,400MG,100 EA,1,53.27
HYDROXYUREA CP 500MG 100,SOMERSET PHARMA LLC CS,HYDREA,500MG,100 EA,1,11.87
HYDROXYZINE HCL SR 10MG/5ML 473ML,LANNETT CO INC CS,ATARAX,10MG/5ML,473 ML,1,47.07
HYDROXYZINE HCL TB 10MG 100,AVET PHARMA INC CS,ATARAX,10MG,100 EA,1,2.27
HYDROXYZINE HCL TB 10MG 500,AVET PHARMA INC CS,ATARAX,10MG,500 EA,1,10.07
HYDROXYZINE HCL TB 25MG 100,AVET PHARMA INC CS,ATARAX,25MG,100 EA,1,3.67
HYDROXYZINE HCL TB 25MG 1000,AVET PHARMA INC CS,ATARAX,25MG,1000 EA,1,29.07
HYDROXYZINE HCL TB 50MG 100,AVET PHARMA INC CS,ATARAX,50MG,100 EA,1,4.77
HYDROXYZINE HCL TB 50MG 1000,AVET PHARMA INC CS,ATARAX,50MG,1000 EA,1,35.57
HYDROXYZINE PAM CP 100MG 100,TEVA PHARMA CS,VISTARIL,100MG,100 EA,1,37.47
HYDROXYZINE PAM CP 25MG 500,TEVA PHARMA CS,VISTARIL,25MG,500 EA,1,55.17
HYDROXYZINE PAM CP 50MG 100,AVET PHARMA INC CS,VISTARIL,50MG,100 EA,1,8.27
HYDROXYZINE PAM CP 50MG 500,AVET PHARMA INC CS,VISTARIL,50MG,500 EA,1,37.07
HYDROXYZINE PAMOATE CP 25MG 100,SANDOZ CS,VISTARIL,25MG,100 EA,1,5.67
HYDROXYZINE PAMOATE CP 25MG 500,SANDOZ CS,VISTARIL,25MG,500 EA,1,26.27
HYDROXYZINE PAMOATE CP 50MG 100,SANDOZ CS,VISTARIL,50MG,100 EA,1,5.67
HYDROXYZINE PAMOATE CP 50MG 500,SANDOZ CS,VISTARIL,50MG,500 EA,1,27.57
HYOSCYAMINE SULF TB 0.125MG 100,ANI PHARMACEUTICALS INC CS,LEVSIN,0.125MG,100 EA,1,19.27
HYOSCYAMINE SULF TB 0.125MG100 SL,ANI PHARMACEUTICALS INC CS,LEVSIN-SL,0.125MG,100 EA,1,16.07
HYOSCY SULF ER TB 0.375MG 100CPLT,MYLAN PHARM CS,LEVBID,0.375MG,100 EA,1,24.97
HYOSCY SULF TB 0.125MG 100 PPMNT,ACELLA PHARMACEUTICALS CS,LEVSIN,0.125MG,100 EA,1,17.77
HYOSCY SULF TB0.125MG100 PPMNT SL,ACELLA PHARMACEUTICALS CS,LEVSIN-SL,0.125MG,100 EA,1,17.87
HYOSCY SULF TD 0.125MG 100 ODT,ANI PHARMACEUTICALS INC CS,ANASPAZ,0.125MG,100 EA,1,15.77
HYOSYNE DR 0.125MG/ML 15ML ORAL,LANNETT CO INC CS,LEVSIN,0.125MG/ML,15 ML,1,9.97
IBANDRONATE SODIUM TB 150MG 3,DR REDDYS LABS INC CS,BONIVA,150MG,3X1EA,3,7.47
IBANDRONATE SODIUM TB 150MG 3X1,APOTEX CORP CS,BONIVA,150MG,3X1EA,3,64.27
IBU-200 TB 100   WHT,MAJOR PHARMACEUTICALS NLC,,200MG,100 EA,1,3.2
IBU CHD SS 100MG/5ML 118ML GRAPE,PADAGIS US LLC OTC CS,,100MG/5ML,118 ML,1,3.67
IBU/FAMOTIDINE TB 800-26.6MG 90,CAMBER PHARMA CS,DUEXIS,800-26.6MG,90 EA,1,65.07
IBUPROFEN CHILD DR 40MG/ML 15ML,MAJOR PHARMACEUTICALS,ADVIL PED DROPS/MOTRIN INFANT,40MG/ML,15 ML,1,5.15
IBUPROFEN CHILD SS 100/5 4OZ BRY,MAJOR PHARMACEUTICALS CS CHLC,MOTRIN,100MG/5ML,120 ML,1,3.36
IBUPROFEN CHILD SS 100/5 4OZ BRY,MAJOR PHARMACEUTICALS CS NLC,MOTRIN,100MG/5ML,120 ML,1,3.36
IBUPROFEN CHILD SS100MG/5ML 118ML,MAJOR PHARMACEUTICALS CS,,100MG/5ML,118 ML,1,3.87
IBUPROFEN CHILD SS 100MG/5ML240ML,MAJOR PHARMACEUTICALS CS CHLC,CHILDREN'S IBUPROFEN,100MG/5ML,240 ML,1,5.21
IBUPROFEN CHILD SS 100MG/5ML240ML,MAJOR PHARMACEUTICALS CS NLC,CHILDREN'S IBUPROFEN,100MG/5ML,240 ML,1,5.21
IBUPROFEN GC 200MG 80 SFG,MAJOR RUGBY LABS CHLC,,200MG,80 EA,1,4.45
IBUPROFEN GC 200MG 80 SFG,MAJOR RUGBY LABS NLC,,200MG,80 EA,1,4.45
IBUPROFEN SS 100MG/5ML 120ML BRY,AUROBINDO PHARMA USA CS,CHILDREN'S MOTRIN,100MG/5ML,120 ML,1,2.97
IBUPROFEN SS 100MG/5ML 473ML BRY,AUROBINDO PHARMA USA CS,CHILDREN'S MOTRIN,100MG/5ML,473 ML,1,9.87
IBUPROFEN TB 200MG 100,MAJOR PHARMACEUTICALS CS CHLC,,200MG,100 EA,1,1.82
IBUPROFEN TB 200MG 100,MAJOR PHARMACEUTICALS CS NLC,,200MG,100 EA,1,1.82
IBUPROFEN TB 200MG 1000,MAJOR PHARMACEUTICALS,,200MG,1000 EA,1,11.84
IBUPROFEN TB 200MG 1000,MAJOR PHARMACEUTICALS NLC,,200MG,1000 EA,1,11.84
IBUPROFEN TB 200MG 100 BRN CPLT,MAJOR PHARMACEUTICALS,,200MG,100 EA,1,1.66
IBUPROFEN TB 200MG 100 BRN CPLT,MAJOR PHARMACEUTICALS NLC,,200MG,100 EA,1,1.66
IBUPROFEN TB 200MG 10X10UD  BLSTR,MAJOR PHARMACEUTICALS CHLC,ADVIL,200MG,10X10EA,10,5.16
IBUPROFEN TB 200MG 10X10UD  BLSTR,MAJOR PHARMACEUTICALS NLC,ADVIL,200MG,10X10EA,10,5.16
IBUPROFEN TB 200MG 24,MAJOR PHARMACEUTICALS CHLC,,200MG,24 EA,1,0.88
IBUPROFEN TB 200MG 24,MAJOR PHARMACEUTICALS NLC,,200MG,24 EA,1,0.88
IBUPROFEN TB 200MG 250,MAJOR PHARMACEUTICALS CS CHLC,,200MG,250 EA,1,3.84
IBUPROFEN TB 200MG 250,MAJOR PHARMACEUTICALS CS NLC,,200MG,250 EA,1,3.84
IBUPROFEN TB 200MG 500,MAJOR PHARMACEUTICALS,,200MG,500 EA,1,6.77
IBUPROFEN TB 200MG 500,MAJOR PHARMACEUTICALS NLC,,200MG,500 EA,1,6.77
IBUPROFEN TB 200MG 50 BRN CPLT,MAJOR PHARMACEUTICALS,ADVIL / MOTRIN IB,200MG,50 EA,1,0.98
IBUPROFEN TB 200MG 50 BRN CPLT,MAJOR PHARMACEUTICALS NLC,ADVIL / MOTRIN IB,200MG,50 EA,1,0.98
IBUPROFEN TB 400MG 100,ASCEND LABORATORIES CS,MOTRIN,400MG,100 EA,1,2.87
IBUPROFEN TB 400MG 100,TIME CAP LABS INC CS,MOTRIN,400MG,100 EA,1,3.97
IBUPROFEN TB 400MG 500,ASCEND LABORATORIES CS,MOTRIN,400MG,500 EA,1,10.67
IBUPROFEN TB 400MG 500,TIME CAP LABS INC CS,MOTRIN,400MG,500 EA,1,18.27
IBUPROFEN TB 600MG 100 CPLT,ASCEND LABORATORIES CS,MOTRIN,600MG,100 EA,1,4.27
IBUPROFEN TB 600MG 100 CPLT,TIME CAP LABS INC CS,MOTRIN,600MG,100 EA,1,5.57
IBUPROFEN TB 600MG 10X10UD,MAJOR PHARMACEUTICALS NLC,MOTRIN,600MG,10X10EA,10,7.76
IBUPROFEN TB 600MG 500 CPLT,ASCEND LABORATORIES CS,MOTRIN,600MG,500 EA,1,13.67
IBUPROFEN TB 600MG 500 CPLT,TIME CAP LABS INC CS,MOTRIN,600MG,500 EA,1,25.87
IBUPROFEN TB 800MG 100 CPLT,ASCEND LABORATORIES CS,MOTRIN,800MG,100 EA,1,3.97
IBUPROFEN TB 800MG 100 CPLT,TIME CAP LABS INC CS,MOTRIN,800MG,100 EA,1,7.27
IBUPROFEN TB 800MG 500 CPLT,ASCEND LABORATORIES CS,MOTRIN,800MG,500 EA,1,16.97
IBUPROFEN TB 800MG 500 CPLT,TIME CAP LABS INC CS,MOTRIN,800MG,500 EA,1,33.57
ICOSAPENT ETHYL CP 0.5GM 240,DR REDDYS LABS INC CS,VASCEPA,0.5GM,240 EA,1,198.17
ICOSAPENT ETHYL CP 1GM 120,EPIC PHARMA LLC CS,VASCEPA,1GM,120 EA,1,48.87
ICOSAPENT ETHYL CP 1GM 120,HIKMA CS,VASCEPA,1GM,120 EA,1,128.87
ICOSAPENT ETHYL GC 1GM 120 SFG,APOTEX CORP CS,VASCEPA,1GM,120 EA,1,44.07
IMATINIB MESYLATE TB 100MG 90,APOTEX CORP CS,GLEEVEC,100MG,90 EA,1,84.17
IMATINIB MESYLATE TB 400MG 30,UPSHER SMITH LABS LLC CS,,400MG,30 EA,1,73.97
IMATINIB MESYLATE TB 400MG 30CPLT,APOTEX CORP CS,GLEEVEC,400MG,30 EA,1,86.67
IMIPRAMINE HCL TB 10MG 100,OXFORD PHARMACEUTICALS LLC CS,TOFRANIL,10MG,100 EA,1,6.37
IMIPRAMINE HCL TB 10MG 100,STRIDES PHARMA INC CS NCBNET,TOFRANIL,10MG,100 EA,1,13.5
IMIPRAMINE HCL TB 25MG 100,OXFORD PHARMACEUTICALS LLC CS,TOFRANIL,25MG,100 EA,1,6.27
IMIPRAMINE HCL TB 25MG 100,STRIDES PHARMA INC CS NCBNET,TOFRANIL,25MG,100 EA,1,30.0
IMIPRAMINE HCL TB 50MG 100,OXFORD PHARMACEUTICALS LLC CS,TOFRANIL,50MG,100 EA,1,6.67
IMIPRAMINE PAMOATE CP 100MG 30,HIKMA CS,TOFRANIL-PM,100MG,30 EA,1,171.27
IMIPRAMINE PAMOATE CP 125MG 30,HIKMA CS,TOFRANIL-PM,125MG,30 EA,1,174.77
IMIPRAMINE PAMOATE CP 150MG 30,HIKMA CS,TOFRANIL-PM,150MG,30 EA,1,171.27
IMIPRAMINE PAMOATE CP 75MG 30,HIKMA CS,TOFRANIL-PM,75MG,30 EA,1,171.27
IMIQUIMOD PK 5% 12X0.25GM CREAM,PADAGIS US LLC RX CS,ALDARA,5%,12 EA,1,121.57
IMIQUIMOD PK 5% 24X0.25GM CRM,PADAGIS US LLC RX CS,ALDARA,5%,24 EA,1,15.77
INCRUSE ELLIPTA IN 62.5MCG 30INH,GLAXO SMITHKLINE,,62.5MCG,30 EA,1,350.56
INDAPAMIDE TB 1.25MG 100,ANI PHARMACEUTICALS INC CS,LOZOL,1.25MG,100 EA,1,8.57
INDAPAMIDE TB 2.5MG 100,ANI PHARMACEUTICALS INC CS,LOZOL,2.5MG,100 EA,1,9.17
INDOMETHACIN CP 25MG 100,GLENMARK PHARMA INC USA CS,INDOCIN,25MG,100 EA,1,5.97
INDOMETHACIN CP 50MG 100,CAMBER PHARMA CS,INDOCIN,50MG,100 EA,1,16.47
INDOMETHACIN CP 50MG 100,GLENMARK PHARMA INC USA CS,INDOCIN,50MG,100 EA,1,8.47
INDOMETHACIN CP 50MG 500,GLENMARK PHARMA INC USA CS,INDOCIN,50MG,500 EA,1,37.97
INDOMETHACIN ER CP 75MG 60,CAMBER PHARMA CS,INDOCIN SR,75MG,60 EA,1,4.77
INDOMETHACIN SS25MG/5ML 237ML ORL,ANI PHARMACEUTICALS INC CS,INDOCIN,25MG/5ML,237 ML,1,1420.17
INS ADMELOG MD 100U/ML 3ML,SANOFI AVENTIS US LLC,HUMALOG,100U/ML,3 ML,1,38.84
INS ADMELOG SOLOSTAR SY100U/ML5X3,SANOFI AVENTIS US LLC,HUMALOG,100U/ML,5X3ML,5,187.46
INS ASPART MD 100U/ML 10ML,NOVO NORDISK PHARMA INC,NOVOLOG,100U/ML,10 ML,1,73.06
INS BASAGLAR K/P SY 100U/ML 5X3ML,ELI LILLY AND COMPANY,BASAGLAR,100U/ML,5X3ML,5,323.1
INS GLARGINE-YFGN SY100U/ML 5X3ML,BIOCON BIOLOGICS INC TTL,SEMGLEE,100U/ML,5X3ML,5,91.08
INS HUMALOG CT 100U/ML 5X3ML,ELI LILLY AND COMPANY,,100U/ML,5X3ML,5,151.61
INS HUMALOG MX75/25 SY 5X3KWIKPEN,ELI LILLY AND COMPANY,HUMALOG,75-25U/ML,5X3ML,5,157.53
INS HUMALOG SY 100U/ML 5X3KWIKPEN,ELI LILLY AND COMPANY,HUMALOG,100U/ML,5X3ML,5,157.53
INS HUMULIN 70/30 MD 10ML,ELI LILLY AND COMPANY,HUMULIN,70-30U/ML,10 ML,1,46.84
INS LANTUS MD 100U/ML 10ML,SANOFI AVENTIS US LLC,LANTUS,100U/ML,10 ML,1,63.62
INS LANTUS SOLOSTAR SY 100U/ML5X3,SANOFI AVENTIS US LLC,LANTUS,100U/ML,5X3ML,5,95.42
INS LISPRO MD 100U/ML 10ML,ELI LILLY AND COMPANY,HUMALOG,100U/ML,10 ML,1,24.75
INS LISPRO SY 100U/ML 5X3 KWIKPEN,ELI LILLY AND COMPANY,HUMALOG,100U/ML,5X3ML,5,160.71
INS NOVOLIN 70/30 MD 10ML,NOVO NORDISK INC,NOVOLIN 70/30,70-30U/ML,10 ML,1,162.0
INS NOVOLIN R MD 100U/ML 10ML,NOVO NORDISK INC,NOVOLIN R,100U/ML,10 ML,1,50.61
INS NOVOLOG FLEXPEN SY 5X3ML PPN,NOVO NORDISK INC,NOVOLOG,100U/ML,5X3ML,1,138.31
INS NOVOLOG MD 100U/ML 10ML,NOVO NORDISK INC,NOVOLOG,100U/ML,10 ML,1,74.51
INS NOVOLOG MIX 70/30 MD 10ML,NOVO NORDISK INC,NOVOLOG,70-30U/ML,10 ML,1,71.62
INS NOVOLOG MX 70/30 FLXPN SY 5X3,NOVO NORDISK INC,NOVOLOG,70-30U/ML,5X3ML,5,138.31
INS SOLIQUA 100/33 SY 5X3ML PPN,SANOFI AVENTIS US LLC,SOLIQUA,100U-33MCG/ML,5X3ML,5,881.96
INS TOUJEO SOLSTR SY 300U/ML3X1.5,SANOFI AVENTIS US LLC,TOUJEO,300U/ML,3X1.5ML,3,424.28
INS TRESIBA FLXTC SY 100U/ML5X3ML,NOVO NORDISK INC,TRESIBA,100U/ML,5X3ML,5,503.35
INS TRESIBA FLXTC SY 200U/ML3X3ML,NOVO NORDISK INC,TRESIBA,200U/ML,3X3ML,3,616.21
INVEGA SUSTENNA SY 234MG/1.5ML,JOM PHARMA SERV,,234MG/1.5ML,1.5 ML,1,3533.46
INVEGA SUSTENNA SY 78MG/0.5ML,JOM PHARMA SERV,,78MG/0.5ML,0.5 ML,1,1177.78
INVOKANA TB 300MG 30 CPLT,JOM PHARMA SERV,,300MG,30 EA,1,592.57
IPRATROP AH 0.02% 30X2.5UD 1/PCH,RITEDOSE PHARMACEUTICALS CS,ATROVENT,0.02%,30X2.5ML,30,12.27
IPRATROPIUM AH 0.02% 25X2.5MLUD,RITEDOSE PHARMACEUTICALS CS,ATROVENT,0.02%,25X2.5ML,25,6.67
IPRATROPIUM AH 0.02% 30X2.5MLUD,RITEDOSE PHARMACEUTICALS CS,ATROVENT,0.02%,30X2.5ML,30,9.67
IPRATROPIUM AH 0.02% 60X2.5MLUD,RITEDOSE PHARMACEUTICALS CS,ATROVENT,0.02%,60X2.5ML,60,15.97
IPRATROPIUM SN 0.03% 30ML NSL,AMNEAL PHARMACEUTICALS LLC CS,ATROVENT,0.03%,30 ML,1,11.57
IPRATROPIUM SN 0.03% 30ML NSL,BAUSCH HEALTH US LLC CS,ATROVENT,0.03%,30 ML,1,24.87
IPRATROPIUM SN 0.06% 15ML NSL,AMNEAL PHARMACEUTICALS LLC CS,ATROVENT,0.06%,15 ML,1,13.57
IRBESARTAN/HCTZ TB 150-12.5MG 30,SOLCO HEALTHCARE US LLC CS,AVALIDE,150-12.5MG,30 EA,1,3.37
IRBESARTAN/HCTZ TB 150-12.5MG 90,SOLCO HEALTHCARE US LLC CS,AVALIDE,150-12.5MG,90 EA,1,9.07
IRBESARTAN/HCTZ TB 300-12.5MG 30,SOLCO HEALTHCARE US LLC CS,AVALIDE,300-12.5MG,30 EA,1,5.27
IRBESARTAN/HCTZ TB 300-12.5MG 90,SOLCO HEALTHCARE US LLC CS,AVALIDE,300-12.5MG,90 EA,1,10.97
IRBESARTAN TB 150MG 30 CPLT,CAMBER PHARMA CS,AVAPRO,150MG,30 EA,1,2.57
IRBESARTAN TB 150MG 90 CPLT,CAMBER PHARMA CS,AVAPRO,150MG,90 EA,1,6.47
IRBESARTAN TB 300MG 30 CPLT,CAMBER PHARMA CS,AVAPRO,300MG,30 EA,1,3.07
IRBESARTAN TB 300MG 30UU,MACLEODS PHARMA USA INC CS,AVAPRO,300MG,30 EA,1,7.37
IRBESARTAN TB 300MG 90,HISUN PHARMACEUTICALS USA INC CS,AVAPRO,300MG,90 EA,1,19.77
IRBESARTAN TB 300MG 90 CPLT,CAMBER PHARMA CS,AVAPRO,300MG,90 EA,1,7.67
IRBESARTAN TB 75MG 30 CPLT,CAMBER PHARMA CS,AVAPRO,75MG,30 EA,1,1.87
IRBESARTAN TB 75MG 90 CPLT,CAMBER PHARMA CS,AVAPRO,75MG,90 EA,1,4.37
IRON SUPPL DR 15MG 50ML CHY FLVR,MAJOR RUGBY LABS,,15MG,50 ML,1,2.41
IRON SUPPL DR 15MG 50ML CHY FLVR,MAJOR RUGBY LABS CHLC,,15MG,50 ML,1,2.41
IRON SUPPL DR 15MG 50ML CHY FLVR,MAJOR RUGBY LABS NLC,,15MG,50 ML,1,2.41
ISOSORBIDE DIN TB 10MG 1000 ORAL,ENDO USA INC CS,ISORDIL,10MG,1000 EA,1,131.57
ISOSORBIDE DIN TB 10MG 100 ORAL,HIKMA CS,ISORDIL,10MG,100 EA,1,11.87
ISOSORBIDE DIN TB 10MG100 ORAL,SANDOZ CS,ISORDIL,10MG,100 EA,1,42.07
ISOSORBIDE DIN TB 20MG 100,HIKMA CS,ISORDIL,20MG,100 EA,1,13.57
ISOSORBIDE DIN TB 20MG 100,SANDOZ CS,ISORDIL,20MG,100 EA,1,52.27
